allocated FAST memory @0x2823d8, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x282490, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x282548, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x2825f0, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x282800, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x282828, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x282850, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x282878, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x2828a0, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x2828c8, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x2828f0, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x282918, size 20 (D:\prg\_git\openfire\src\gamestates\game\map.c:93)
allocated FAST memory @0x296f50, size 12 (D:\prg\_git\ace\ace\utils\extview.c:6)
allocated FAST memory @0x2e8b40, size 16 (D:\prg\_git\ace\ace\managers\copper.c:105)
allocated FAST memory @0x21f3e8, size 8 (D:\prg\_git\ace\ace\managers\copper.c:108)
allocated FAST memory @0x21f498, size 8 (D:\prg\_git\ace\ace\managers\copper.c:109)
allocated FAST memory @0x2e9d50, size 28 (D:\prg\_git\ace\ace\utils\extview.c:97)
allocated FAST memory @0x2ea798, size 64 (D:\prg\_git\ace\ace\utils\extview.c:110)
allocated FAST memory @0x2e9e00, size 34 (D:\prg\_git\ace\ace\managers\viewport\simplebuffer.c:12)
allocated FAST memory @0x2ea7d8, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x6d280, size 10240 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x6fa80, size 10240 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x72280, size 10240 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x74a80, size 10240 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x77280, size 10240 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x2ea860, size 30 (D:\prg\_git\ace\ace\managers\viewport\camera.c:7)
allocated FAST memory @0x2ea890, size 20 (D:\prg\_git\ace\ace\managers\copper.c:142)
allocated FAST memory @0x2ea8e8, size 60 (D:\prg\_git\ace\ace\managers\copper.c:145)
allocated FAST memory @0x2ea968, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x79a80, size 512 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79c80, size 512 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79e80, size 512 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
